day,S,I,R
0,999999,1,0
1,999998,2,0
2,999992,7,1
3,999982,15,3
4,999967,27,6
5,999947,46,7
6,999922,65,13
7,999885,100,15
8,999849,126,25
9,999806,161,33
10,999763,191,46
11,999722,214,64
12,999669,248,83
13,999607,279,114
14,999538,318,144
15,999479,349,172
16,999416,386,198
17,999348,418,234
18,999269,454,277
19,999180,499,321
20,999092,548,360
21,998988,605,407
22,998889,635,476
23,998786,670,544
24,998688,704,608
25,998576,757,667
26,998450,820,730
27,998323,863,814
28,998192,921,887
29,998067,946,987
30,997918,1013,1069
31,997767,1058,1175
32,997611,1119,1270
33,997460,1158,1382
34,997289,1215,1496
35,997139,1255,1606
36,996954,1303,1743
37,996770,1376,1854
38,996581,1436,1983
39,996395,1498,2107
40,996206,1548,2246
41,996012,1577,2411
42,995812,1615,2573
43,995613,1635,2752
44,995414,1662,2924
45,995186,1751,3063
46,994958,1814,3228
47,994733,1841,3426
48,994503,1864,3633
49,994269,1893,3838
50,994032,1956,4012
51,993780,2014,4206
52,993515,2082,4403
53,993268,2140,4592
54,993018,2180,4802
55,992752,2247,5001
56,992488,2272,5240
57,992225,2308,5467
58,991946,2337,5717
59,991661,2388,5951
60,991359,2438,6203
61,991056,2491,6453
62,990760,2559,6681
63,990447,2625,6928
64,990137,2687,7176
65,989819,2722,7459
66,989508,2777,7715
67,989182,2824,7994
68,988852,2873,8275
69,988500,2924,8576
70,988159,2978,8863
71,987835,3011,9154
72,987481,3052,9467
73,987112,3117,9771
74,986721,3175,10104
75,986356,3186,10458
76,985993,3259,10748
77,985621,3295,11084
78,985211,3390,11399
79,984825,3424,11751
80,984404,3500,12096
81,984000,3575,12425
82,983593,3595,12812
83,983191,3640,13169
84,982794,3685,13521
85,982381,3732,13887
86,981952,3807,14241
87,981519,3856,14625
88,981097,3900,15003
89,980632,3975,15393
90,980199,4006,15795
91,979751,4070,16179
92,979290,4126,16584
93,978848,4163,16989
94,978386,4240,17374
95,977888,4327,17785
96,977419,4348,18233
97,976945,4403,18652
98,976454,4469,19077
99,975957,4476,19567
100,975455,4548,19997
101,974937,4640,20423
102,974436,4700,20864
103,973950,4696,21354
104,973413,4741,21846
105,972886,4799,22315
106,972350,4888,22762
107,971805,4936,23259
108,971259,4990,23751
109,970730,5031,24239
110,970174,5103,24723
111,969595,5186,25219
112,969020,5232,25748
113,968476,5236,26288
114,967892,5247,26861
115,967308,5335,27357
116,966711,5416,27873
117,966130,5463,28407
118,965502,5556,28942
119,964875,5676,29449
120,964237,5752,30011
121,963630,5772,30598
122,962999,5834,31167
123,962379,5833,31788
124,961770,5896,32334
125,961121,5926,32953
126,960448,6020,33532
127,959790,6060,34150
128,959136,6088,34776
129,958504,6133,35363
130,957843,6189,35968
131,957170,6250,36580
132,956491,6308,37201
133,955827,6372,37801
134,955128,6451,38421
135,954440,6512,39048
136,953768,6503,39729
137,953069,6594,40337
138,952352,6643,41005
139,951653,6684,41663
140,950942,6722,42336
141,950177,6790,43033
142,949460,6830,43710
143,948708,6935,44357
144,948001,6932,45067
145,947283,6957,45760
146,946530,7029,46441
147,945785,7110,47105
148,945026,7198,47776
149,944268,7231,48501
150,943493,7280,49227
151,942708,7370,49922
152,941914,7401,50685
153,941126,7425,51449
154,940338,7508,52154
155,939538,7559,52903
156,938741,7581,53678
157,937934,7658,54408
158,937095,7753,55152
159,936313,7772,55915
160,935488,7834,56678
161,934660,7875,57465
162,933818,7916,58266
163,932934,7997,59069
164,932091,8059,59850
165,931225,8073,60702
166,930356,8108,61536
167,929491,8136,62373
168,928688,8139,63173
169,927831,8187,63982
170,926926,8258,64816
171,925972,8369,65659
172,925073,8438,66489
173,924154,8497,67349
174,923277,8514,68209
175,922387,8552,69061
176,921447,8632,69921
177,920534,8657,70809
178,919589,8701,71710
179,918670,8770,72560
180,917762,8812,73426
181,916826,8858,74316
182,915904,8906,75190
183,914954,8962,76084
184,914008,8989,77003
185,913015,9015,77970
186,912000,9172,78828
187,911005,9266,79729
188,909997,9381,80622
189,909005,9427,81568
190,908016,9421,82563
191,907087,9395,83518
192,906087,9519,84394
193,905138,9529,85333
194,904153,9555,86292
195,903154,9629,87217
196,902156,9677,88167
197,901133,9742,89125
198,900116,9762,90122
199,899093,9808,91099
