day,S_mean,S_std,I_mean,I_std,R_mean,R_std
0,999999.0,0.0,1.0,0.0,0.0,0.0
1,999996.6,0.9660917830829938,3.3,0.9486832980505138,0.1,0.31622776601683794
2,999990.9,2.643650674512808,8.7,2.7908580918579307,0.4,0.6992058987801011
3,999982.1,4.931756504759441,16.7,5.3343748982946035,1.2,1.2292725943057183
4,999968.4,8.720346578225602,28.8,8.20298048814508,2.8,1.8135294011647258
5,999950.6,12.842637320015307,44.1,11.570556502510058,5.3,2.2135943621178655
6,999927.4,17.03069124974453,63.9,15.351076690433004,8.7,3.743141876967945
7,999900.1,21.48617126328202,84.9,17.872697986966973,15.0,4.898979485566357
8,999871.7,22.88157919957674,104.8,19.11253224690252,23.5,5.233439489369194
9,999837.9,27.95810357581594,129.4,23.968497843813427,32.7,6.583649781424013
10,999797.7,30.147968422426107,156.6,24.304549185514865,45.7,9.043720964784844
11,999754.2,36.352594283092245,183.6,26.487733009829288,62.2,13.31498737847276
12,999705.6,36.3599291039501,214.2,25.472425177914342,80.2,15.43300935585078
13,999649.2,38.71491242975271,248.4,25.233135181960865,102.4,18.52445830667001
14,999588.7,44.17905486642185,283.8,28.924422590990854,127.5,19.086062395836855
15,999522.5,46.111579649549995,322.1,27.253745919903682,155.4,21.474532720307455
16,999452.8,43.60377149844014,360.6,24.373026985675047,186.6,21.72658381900948
17,999375.9,45.74919549990781,400.4,23.660562593104636,223.7,24.989108738719665
18,999292.5,43.030351045637346,443.3,18.5115579511228,264.2,27.14487878853845
19,999207.2,45.48699447826374,483.6,17.957975634488683,309.2,31.579881077814225
20,999115.7,50.22626581557415,526.8,23.621082861620792,357.5,30.991934434623477
21,999018.1,53.97828781607807,571.6,27.431530924993766,410.3,30.923022706930404
22,998917.7,55.27114979806463,617.0,23.537204591879636,465.3,36.3778015339636
23,998810.1,54.494546108354385,663.2,22.552654438496194,526.7,37.43156718896794
24,998701.6,58.405098711963085,705.5,31.13857914406357,592.9,44.235355392114435
25,998589.2,56.92255948020804,747.2,26.42305390710503,663.6,48.13222528733854
26,998470.9,60.419735554252334,791.7,25.95316294147338,737.4,51.592850495220965
27,998344.5,63.64353855656248,842.7,24.78373122298848,812.8,55.51936599061628
28,998211.9,66.08992190778677,891.5,23.19123397608099,896.6,55.56017758550933
29,998071.2,68.6064460852236,940.8,22.13493970074362,988.0,59.207732227772034
30,997924.3,71.3630000615082,998.3,20.341801515325255,1077.4,62.021859945595885
31,997773.8,73.95313831520338,1049.3,19.241448316936378,1176.9,63.44630275542724
32,997623.1,74.97621845180896,1096.6,19.82815058333869,1280.3,63.364992087289174
33,997463.9,73.79468514435476,1149.0,24.28991560298223,1387.1,62.93991844079029
34,997297.1,79.70285091792464,1205.5,26.788264428870917,1497.4,58.50204174974484
