day,S,I,R
0,999999,1,0
1,999997,3,0
2,999993,7,0
3,999982,18,0
4,999971,28,1
5,999954,44,2
6,999935,59,6
7,999908,82,10
8,999874,111,15
9,999840,136,24
10,999809,151,40
11,999767,181,52
12,999718,207,75
13,999663,241,96
14,999607,275,118
15,999545,307,148
16,999472,354,174
17,999388,399,213
18,999316,427,257
19,999231,468,301
20,999144,509,347
21,999055,549,396
22,998950,595,455
23,998851,633,516
24,998738,674,588
25,998625,724,651
26,998517,743,740
27,998398,790,812
28,998270,835,895
29,998141,872,987
30,998002,937,1061
31,997850,1011,1139
32,997712,1046,1242
33,997568,1082,1350
34,997425,1134,1441
35,997263,1169,1568
36,997089,1223,1688
37,996913,1267,1820
38,996727,1327,1946
39,996537,1374,2089
40,996347,1423,2230
41,996147,1485,2368
42,995954,1541,2505
43,995743,1611,2646
44,995533,1662,2805
45,995333,1679,2988
46,995116,1727,3157
47,994880,1796,3324
48,994642,1842,3516
49,994386,1919,3695
50,994136,1985,3879
51,993889,2044,4067
52,993635,2098,4267
53,993400,2099,4501
54,993140,2151,4709
55,992877,2185,4938
56,992605,2247,5148
57,992306,2323,5371
58,992024,2362,5614
59,991723,2445,5832
60,991447,2480,6073
61,991149,2513,6338
62,990840,2556,6604
63,990530,2613,6857
64,990230,2656,7114
65,989912,2700,7388
66,989577,2759,7664
67,989251,2817,7932
68,988923,2839,8238
69,988579,2870,8551
70,988249,2912,8839
71,987896,2950,9154
72,987535,3015,9450
73,987177,3056,9767
74,986799,3138,10063
75,986429,3211,10360
76,986032,3300,10668
77,985668,3339,10993
78,985291,3380,11329
79,984918,3391,11691
80,984558,3411,12031
81,984138,3498,12364
82,983715,3552,12733
83,983322,3560,13118
84,982890,3641,13469
85,982461,3695,13844
86,982042,3733,14225
87,981607,3837,14556
88,981150,3922,14928
89,980693,3997,15310
90,980256,4045,15699
91,979772,4135,16093
92,979304,4194,16502
93,978829,4277,16894
94,978362,4298,17340
95,977888,4366,17746
96,977423,4410,18167
97,976904,4512,18584
98,976382,4597,19021
99,975855,4632,19513
